machines,points
500,135825570.078
1000,203945744.604
1500,250428826.364
2000,293748467.598
2500,326720207.923
3000,356268612.188
3500,382811038.603
4000,402230419.858
4500,418847738.705
5000,430727013.722
5500,439158635.451
6000,444400841.76
6500,448815363.245
7000,452468266.361
7500,455074852.821
8000,457298812.464
8500,459542511.277
9000,461913424.571
9500,464255117.063
10000,466441860.205
10500,468586911.112
11000,470536407.202
11500,472314452.941
12000,473950317.722
12500,475546841.034
13000,477034475.814
13500,478463690.996
14000,479743949.195
14500,480859980.699
15000,481811996.898
15500,482642506.899
16000,483332497.658
16500,483951622.064
17000,484524293.21
17500,485056898.726
18000,485559187.081
18500,486032164.947
19000,486479000.619
19500,486903085.578
20000,487306624.805
20500,487688310.352
21000,488054889.824
21500,488403270.816
22000,488736555.007
22500,489059945.285
23000,489372129.457
23500,489671616.343
24000,489958699.915
24500,490239063.774
25000,490511279.785
25500,490773565.326
26000,491027003.477
26500,491270592.246
27000,491508188.691
27500,491742468.985
28000,491968792.796
28500,492188295.329
29000,492399850.78
29500,492606496.456
30000,492805809.328
30500,493001371.727
31000,493195574.075
31500,493383622.744
32000,493552068.255
32500,493710658.246
33000,493864228.782
33500,494013749.013
34000,494160271.567
34500,494303064.743
35000,494442506.846
35500,494581228.454
36000,494718877.812
36500,494854161.233
37000,494985648.748
37500,495113610.267
38000,495239344.673
38500,495363140.63
39000,495484167.714
39500,495601484.593
40000,495715827.618
40500,495829106.012
41000,495939546.118
41500,496047283.531
42000,496153251.37
42500,496259119.701
43000,496364684.831
43500,496468862.876
44000,496572050.964
44500,496673509.484
45000,496772818.891
45500,496869917.037
46000,496964737.466
46500,497057792.105
47000,497150226.34
47500,497241151.559
48000,497330134.865
48500,497417307.017
49000,497503738.306
49500,497588363.809
50000,497671672.015
55000,498453661.207
60500,499217004.683
66550,499927920.272
73205,500609036.058
80525,501286194.6
88578,501956495.69
97435,502594612.78
107179,503214036.657
117897,503800574.328
129687,504375374.783
142655,504941843.666
156921,505505433.01
172613,506047496.985
189874,506553967.632
208862,507023319.974
229748,507486359.272
252723,507946093.804
277995,508367953.474
305795,508743476.141
336374,509091391.622
370012,509430984.626
407013,509782901.555
447715,510098346.514
492486,510405634.586
541735,510681339.49
595908,510945917.058
655499,511191430.691
721049,511435767.355
793154,511649653.498
872470,511846456.29
959717,512022535.654
1055688,512175725.721
1161257,512324894.349
1277383,512437565.488
1405121,512547876.282
1545634,512667659.517
1700197,512799419.967
1870217,512909624.589
2057238,512992743.484
2262962,513078337.434
2489259,513132772.957
2738184,513160973.56
3012003,513178326.06
3313203,513178326.06
3644524,513178326.06
4008976,513178326.06
4409874,513178326.06
4850861,513178326.06
5335947,513178326.06
5869542,513178326.06
